,Time,Actual,Predict
274,2022-10-07 12:55:00,0.97943,0.98006
275,2022-10-07 13:00:00,0.97981,0.98107
276,2022-10-07 13:05:00,0.97958,0.98086
277,2022-10-07 13:10:00,0.97986,0.98028
278,2022-10-07 13:15:00,0.98083,0.98016
279,2022-10-07 13:20:00,0.98007,0.97982
280,2022-10-07 13:25:00,0.98005,0.98028
281,2022-10-07 13:30:00,0.98076,0.97988
282,2022-10-07 13:35:00,0.97987,0.97985
283,2022-10-07 13:40:00,0.97998,0.98003
284,2022-10-07 13:45:00,0.98,0.97938
285,2022-10-07 13:50:00,0.98068,0.97938
286,2022-10-07 13:55:00,0.9807,0.97919
287,2022-10-07 14:00:00,0.98118,0.97965
288,2022-10-07 14:05:00,0.98143,0.98015
289,2022-10-07 14:10:00,0.98142,0.97957
290,2022-10-07 14:15:00,0.98134,0.98048
291,2022-10-07 14:20:00,0.98093,0.98058
292,2022-10-07 14:25:00,0.98113,0.9805
293,2022-10-07 14:30:00,0.98089,0.98005
294,2022-10-07 14:35:00,0.98018,0.97995
295,2022-10-07 14:40:00,0.98001,0.97919
296,2022-10-07 14:45:00,0.9799,0.97955
297,2022-10-07 14:50:00,0.97973,0.9794
298,2022-10-07 14:55:00,0.98001,0.97938
299,2022-10-07 15:00:00,0.98065,0.9788
300,2022-10-07 15:05:00,0.98074,0.97884
301,2022-10-07 15:10:00,0.98073,0.97901
302,2022-10-07 15:15:00,0.98076,0.97901
303,2022-10-07 15:20:00,0.98024,0.9788
304,2022-10-07 15:25:00,0.98014,0.97966
305,2022-10-07 15:30:00,0.98008,0.98027
306,2022-10-07 15:35:00,0.98061,0.9783
307,2022-10-07 15:40:00,0.98025,0.97624
308,2022-10-07 15:45:00,0.98031,0.97599
309,2022-10-07 15:50:00,0.98017,0.97407
310,2022-10-07 15:55:00,0.97986,0.97368
311,2022-10-07 16:00:00,0.98001,0.97466
312,2022-10-07 16:05:00,0.98036,0.97489
313,2022-10-07 16:10:00,0.97968,0.97487
314,2022-10-07 16:15:00,0.98007,0.97562
315,2022-10-07 16:20:00,0.97964,0.97584
316,2022-10-07 16:25:00,0.97961,0.97566
317,2022-10-07 16:30:00,0.97923,0.97565
318,2022-10-07 16:35:00,0.97967,0.97547
319,2022-10-07 16:40:00,0.97987,0.97529
320,2022-10-07 16:45:00,0.97994,0.97523
321,2022-10-07 16:50:00,0.98014,0.97436
322,2022-10-07 16:55:00,0.98016,0.97458
323,2022-10-07 17:00:00,0.97992,0.9746
324,2022-10-07 17:05:00,0.97963,0.97427
325,2022-10-07 17:10:00,0.97988,0.97441
326,2022-10-07 17:15:00,0.97951,0.97534
327,2022-10-07 17:20:00,0.97942,0.97593
328,2022-10-07 17:25:00,0.97982,0.97667
329,2022-10-07 17:30:00,0.97925,0.97657
330,2022-10-07 17:35:00,0.97873,0.97617
331,2022-10-07 17:40:00,0.97952,0.97626
332,2022-10-07 17:45:00,0.97939,0.97672
333,2022-10-07 17:50:00,0.97966,0.97766
