,var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var8(t-1),var9(t-1),var10(t-1),var11(t-1),var1(t)
6283,0.5291672,0.5292778,0.52682495,0.53785133,0.532835,0.44837946,0.44330144,0.46159014,0.5340824,0.54076385,0.53051376,0.529356
6284,0.529356,0.52889824,0.5277672,0.53860664,0.53133965,0.45127654,0.4418252,0.45964128,0.5340824,0.54076385,0.5314808,0.54052925
6285,0.54052925,0.5292778,0.53910065,0.5395508,0.533411,0.59858096,0.448998,0.45968837,0.5346565,0.54076385,0.5258808,0.5384464
6286,0.5384464,0.54026794,0.53777885,0.545969,0.53559685,0.5694725,0.4533006,0.4606895,0.5346565,0.54076385,0.5270386,0.5433693
6287,0.5433693,0.5381832,0.54665756,0.54823303,0.53855133,0.62611467,0.46036142,0.46307155,0.5384979,0.54076385,0.5318661,0.53598404
6288,0.53598404,0.5444393,0.5474129,0.54559135,0.53993225,0.5245126,0.46062222,0.4650356,0.5388813,0.54076385,0.53128815,0.5365505
6289,0.5365505,0.5357208,0.54250145,0.5457802,0.54138947,0.5318531,0.46128926,0.4667562,0.5388813,0.54076385,0.5314808,0.5337105
6290,0.5337105,0.5361004,0.5347576,0.542572,0.54000854,0.49330592,0.459809,0.4678012,0.5388813,0.5424385,0.5301266,0.5263252
6291,0.5263252,0.53325653,0.5313568,0.5321884,0.5375519,0.4053737,0.45338434,0.46719855,0.53907204,0.5424385,0.52993584,0.5333328
6292,0.5333328,0.5273819,0.5313568,0.53520775,0.53552055,0.5066118,0.45354152,0.4667516,0.5395527,0.5424385,0.52742386,0.53276443
6293,0.53276443,0.53325653,0.531168,0.534832,0.53486824,0.49938267,0.45339036,0.4663602,0.54128075,0.5424385,0.5285835,0.53863525
6294,0.53863525,0.5324993,0.53570175,0.5423832,0.5352917,0.5778694,0.4576433,0.46699944,0.54128075,0.5424385,0.5254936,0.54052925
6295,0.54052925,0.53837204,0.53910065,0.542572,0.5366726,0.60139304,0.4624298,0.4685827,0.54128075,0.5424385,0.5235615,0.5382557
6296,0.5382557,0.54026794,0.5379677,0.5472908,0.5390873,0.5647774,0.4645729,0.47032917,0.54128075,0.5424385,0.53051376,0.5409088
6297,0.5409088,0.5385628,0.5381584,0.5480461,0.5406227,0.6015523,0.46817473,0.4725329,0.538784,0.53375626,0.526844,0.5352268
6298,0.5352268,0.5406475,0.53834724,0.5437031,0.5411205,0.51035666,0.4668646,0.4740025,0.5370579,0.5318794,0.5272312,0.5375004
6299,0.5375004,0.5349617,0.53513527,0.5450249,0.54088974,0.54516196,0.46746114,0.47531182,0.5370579,0.5318794,0.52819824,0.53598404
6300,0.53598404,0.537426,0.5347576,0.5452137,0.5399685,0.5202872,0.46681148,0.47621375,0.5370579,0.5318794,0.5272312,0.5361748
6301,0.5361748,0.5362873,0.53362274,0.5450249,0.5395489,0.52365154,0.46642262,0.4768482,0.5370579,0.5318794,0.5272312,0.5369301
