<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2023.01.24,23:50:00,1.08863,1.08883,1.0886,1.08882,182,0,1
2023.01.24,23:55:00,1.08882,1.0889,1.08874,1.08879,175,0,2
2023.01.25,0:00:00,1.08856,1.0886,1.08848,1.0886,18,0,22
2023.01.25,0:05:00,1.08859,1.08864,1.08849,1.08864,15,0,21
2023.01.25,0:10:00,1.08864,1.08867,1.08858,1.08865,22,0,17
2023.01.25,0:15:00,1.08866,1.08876,1.0886,1.0886,17,0,22
2023.01.25,0:20:00,1.0886,1.08862,1.08854,1.08857,14,0,25
2023.01.25,0:25:00,1.08855,1.08857,1.08839,1.08854,18,0,23
2023.01.25,0:30:00,1.08855,1.08858,1.08847,1.08855,24,0,20
2023.01.25,0:35:00,1.08849,1.08875,1.08848,1.08863,28,0,22
2023.01.25,0:40:00,1.08863,1.08869,1.08854,1.08864,27,0,22
2023.01.25,0:45:00,1.08867,1.0887,1.0885,1.08863,108,0,12
2023.01.25,0:50:00,1.08863,1.08867,1.08791,1.08832,38,0,20
2023.01.25,0:55:00,1.08832,1.08859,1.08829,1.08848,57,0,29
2023.01.25,1:00:00,1.08847,1.08863,1.08837,1.08863,133,0,6
2023.01.25,1:05:00,1.08863,1.08874,1.08845,1.08845,74,0,2
2023.01.25,1:10:00,1.08846,1.08864,1.08845,1.08848,96,0,2
2023.01.25,1:15:00,1.08848,1.08854,1.08836,1.08849,137,0,2
2023.01.25,1:20:00,1.08849,1.08851,1.08834,1.08847,121,0,2
2023.01.25,1:25:00,1.08849,1.08868,1.08847,1.08861,176,0,2
2023.01.25,1:30:00,1.08863,1.08864,1.08836,1.08844,236,0,2
2023.01.25,1:35:00,1.08844,1.08857,1.08828,1.08839,175,0,2
2023.01.25,1:40:00,1.0884,1.08865,1.08833,1.08856,73,0,2
2023.01.25,1:45:00,1.08855,1.08868,1.0884,1.08864,235,0,2
2023.01.25,1:50:00,1.08861,1.08883,1.08861,1.08877,185,0,2
2023.01.25,1:55:00,1.0888,1.08904,1.08875,1.08899,114,0,2
2023.01.25,2:00:00,1.08897,1.08906,1.08859,1.08864,211,0,1
2023.01.25,2:05:00,1.08864,1.08871,1.08845,1.08849,189,0,1
2023.01.25,2:10:00,1.0885,1.08853,1.08838,1.08841,101,0,1
2023.01.25,2:15:00,1.08842,1.08845,1.08819,1.0882,152,0,1
2023.01.25,2:20:00,1.0882,1.08829,1.08813,1.08826,91,0,1
2023.01.25,2:25:00,1.08828,1.08836,1.08824,1.08825,85,0,1
2023.01.25,2:30:00,1.08825,1.08898,1.08823,1.08872,497,0,0
2023.01.25,2:35:00,1.08873,1.08879,1.0884,1.0884,240,0,0
2023.01.25,2:40:00,1.08839,1.08849,1.08809,1.08813,244,0,0
2023.01.25,2:45:00,1.08814,1.08828,1.08812,1.08815,118,0,1
2023.01.25,2:50:00,1.08815,1.08844,1.0881,1.0884,147,0,1
2023.01.25,2:55:00,1.08841,1.08885,1.08841,1.08871,231,0,0
2023.01.25,3:00:00,1.08871,1.08904,1.0886,1.08904,288,0,1
2023.01.25,3:05:00,1.08903,1.08937,1.08881,1.08886,240,0,1
2023.01.25,3:10:00,1.08887,1.08901,1.08853,1.08861,175,0,1
2023.01.25,3:15:00,1.0886,1.08902,1.08842,1.08896,230,0,0
2023.01.25,3:20:00,1.08897,1.08911,1.08894,1.0891,100,0,1
2023.01.25,3:25:00,1.08911,1.08915,1.08893,1.0891,136,0,1
2023.01.25,3:30:00,1.08912,1.0892,1.0888,1.08888,115,0,0
2023.01.25,3:35:00,1.08887,1.08908,1.08886,1.089,172,0,1
2023.01.25,3:40:00,1.089,1.0892,1.08899,1.08905,159,0,1
2023.01.25,3:45:00,1.08905,1.0891,1.08895,1.089,142,0,1
2023.01.25,3:50:00,1.089,1.08934,1.089,1.08927,108,0,1
2023.01.25,3:55:00,1.08928,1.08942,1.08918,1.0893,145,0,0
2023.01.25,4:00:00,1.08931,1.08952,1.0893,1.08944,125,0,1
2023.01.25,4:05:00,1.08945,1.08951,1.08931,1.08945,97,0,1
2023.01.25,4:10:00,1.08945,1.08989,1.08945,1.08975,132,0,0
